Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-02-12 09:36:18.655 -0700,"Failure",0:00:00,1,0,0,"20240212_093618.655/LogFile.txt","","SenseTalk Compiler Exception -- in helpercall:\nSyntax Error at line 3: can't understand [end of line] at character 19",0
2024-02-12 09:37:23.849 -0700,"Success",0:00:00,0,0,0,"20240212_093723.849/LogFile.txt","","",1
